THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,OMEGA11,OMEGA21,OMEGA22,OMEGA31,OMEGA32,OMEGA33,OMEGA41,OMEGA42,OMEGA43,OMEGA44,SIGMA11
14.84,11.26,19.78,13.07,-0.1193,0.9468,0.06304,0.5034,1.006,0.09575,-0.02379,0.08859,-0.00672,0.01151,0.121,-0.002326,0.008047,0.009451,0.05581,0
15.37,11.42,19.61,11.22,-0.06737,0.7169,0.09814,-0.009631,0.7792,0.1269,-0.01381,0.07859,-0.000728,0.01207,0.1184,0.01582,0.006651,0.001764,0.08097,0
13.29,9.178,19.21,11.59,-0.05078,1.281,0.03664,-0.3796,0.3749,0.07893,0.003764,0.08624,0.007157,0.004118,0.09496,0.001568,-0.005313,-0.006717,0.07,0
13.83,10.97,20.48,11.11,-0.07897,1.272,0.0622,0.2175,0.8516,0.1,0.0143,0.09074,-0.009122,-0.001359,0.1201,0.018,-0.01073,0.007337,0.07791,0
14.14,10.26,17.69,14.83,-0.5285,1.404,0.01496,0.5493,0.1286,0.111,0.005261,0.1003,0.04313,0.009564,0.106,0.015,0.01403,0.01565,0.08516,0
14.56,9.854,20.78,12.19,-0.1195,1.476,0.08638,-0.011,0.1529,0.1126,-0.000416,0.135,-0.01206,-0.01393,0.121,-0.003975,0.02294,0.006176,0.07845,0
14.71,10.02,17.17,11.09,-0.09748,1.892,0.03629,-0.3593,0.7117,0.07421,-0.00637,0.0965,-0.006046,0.01541,0.1054,-0.002647,-0.000169,-0.00234,0.0836,0
14.71,11.52,21.22,11.28,-0.9766,1.344,0.05747,0.177,0.3426,0.08073,-0.0069,0.1318,-0.005044,0.01107,0.1102,0.01266,0.006662,-0.009872,0.084,0
14.12,9.685,18.48,11.12,-0.1594,1.105,0.03485,0.03424,0.8214,0.09655,-0.003014,0.0692,0.004088,-0.003694,0.1112,-0.006145,-0.005428,0.008337,0.06065,0
14.82,12.65,19.14,10.51,-0.5451,1.516,0.006498,0.4606,0.9262,0.1082,0.004089,0.1082,-0.009856,-0.006705,0.1156,-0.01332,-0.02593,0.01132,0.08158,0
14.21,8.126,16.71,11.28,-0.3413,-0.4182,0.04043,0.856,0.8863,0.08706,-0.007326,0.06524,0.008343,0.006642,0.1084,-0.004096,-0.009669,0.01075,0.08401,0
15.67,11.55,18.54,14.31,-0.126,0.8149,0.02021,0.7057,0.5005,0.09584,-0.006149,0.0911,-0.009889,0.005737,0.08698,-0.01719,-0.01398,0.00851,0.07696,0
16.09,12.45,18.49,12.22,-0.1159,0.3832,0.04364,0.4432,0.4521,0.1195,-0.01546,0.1201,-0.004786,0.006925,0.0904,0.000763,0.01422,0.01328,0.07272,0
14.39,8.717,22.72,11.46,-0.7775,0.02639,0.004492,0.2072,0.7276,0.09261,0.006298,0.1064,0.01795,0.006667,0.09103,0.01175,0.007645,-0.00969,0.06981,0
13.42,9.492,16.7,12.42,-0.5838,1.491,0.04399,-0.3153,0.6036,0.06735,0.001283,0.08808,-0.02251,-0.000821,0.1062,-0.009987,-0.00473,-0.01796,0.08657,0
14.95,10.77,15.72,11.24,-0.1144,1.005,0.08005,0.04576,0.7456,0.09339,0.002217,0.09822,-0.003832,0.02383,0.1046,0.002863,0.01392,0.005525,0.07372,0
15.79,12.28,17.3,12.04,-0.1577,0.9171,0.03237,0.5366,0.5094,0.1203,-0.002987,0.1421,-0.009812,0.02947,0.1427,-0.01397,-0.004766,-0.000123,0.09475,0
14.71,10.91,17.92,12.16,-0.9693,1.016,0.01076,0.4936,0.8642,0.09133,-0.004004,0.1009,0.000104,0.001228,0.1341,-0.01281,0.008401,0.007086,0.1084,0
14.71,10.85,19.36,10.93,-0.05507,1.094,0.02756,0.438,1.141,0.1056,-0.001523,0.1479,-0.0245,-0.003526,0.1044,0.02306,-0.002708,-0.01089,0.07665,0
15.29,10.18,17.45,12.7,-0.4767,1.454,0.01635,-0.2124,1.037,0.08636,0.005476,0.1024,-0.005047,-0.01781,0.1002,-0.01678,0.007419,0.000121,0.09754,0
14.95,11.69,20.11,14.82,-0.1633,0.2256,0.05138,0.4398,1.007,0.0806,-0.01813,0.1252,-0.000181,0.01359,0.1359,0.003248,-0.008344,-0.02501,0.07533,0
14.96,9.923,20.01,12.39,-0.2609,0.4255,0.0148,0.3241,0.7393,0.09649,0.004412,0.1079,-0.002026,-0.00179,0.0989,-0.02088,0.005255,0.000188,0.08626,0
14.24,10.61,17.68,10.72,0.2945,2.896,-0.003838,-0.4564,0.8049,0.1057,-0.006658,0.08777,0.01402,-0.003056,0.09935,-0.02595,-0.006478,-0.01196,0.08341,0
16.31,8.043,18.52,8.935,-0.08789,0.07129,0.02452,0.6069,0.8206,0.07415,-0.008086,0.1272,-0.006592,-0.01576,0.09275,0.002536,0.002709,0.01081,0.08813,0
14.56,10.93,18.67,13.78,0.1792,1.054,0.01651,0.4974,0.005253,0.1062,0.007095,0.1178,0.01018,0.004035,0.1027,-0.00019,0.004708,0.000237,0.1028,0
14.97,7.89,20.79,12.04,-0.7677,0.0958,0.0552,-0.5643,0.9326,0.0977,0.01136,0.1104,0.005746,-0.0391,0.1286,-0.0141,0.01291,-0.0291,0.08629,0
13.45,11.4,20.8,11.86,-0.5612,0.965,0.004781,0.8798,0.5456,0.06344,0.008836,0.06747,0.006874,-0.003141,0.08977,0.00076,0.004774,-0.01677,0.0791,0
13.41,10.99,16.44,14.99,-0.2223,1.005,0.02946,0.9416,0.2792,0.09177,0.006014,0.0985,0.02712,0.009299,0.1127,0.00542,0.005392,0.01638,0.06191,0
13.84,10.21,18.21,11.95,-0.7877,1.033,0.03834,1.129,0.8725,0.08242,-0.01938,0.1239,0.00765,-0.007372,0.08321,-0.008131,-0.002572,0.00013,0.07785,0
15.61,8.127,18.01,11.51,-0.216,1.474,0.03108,0.3472,0.9907,0.1102,-0.001854,0.07945,0.007942,-0.002589,0.07631,0.008433,-0.006766,0.000374,0.08713,0
12.77,8.891,17.53,12.22,-0.8573,0.7374,0.05924,0.1209,0.8941,0.118,0.01454,0.1245,0.01325,0.002404,0.1156,-0.01056,-0.005539,-0.005325,0.06673,0
13.79,9.681,16.45,12.27,-0.7487,1.133,0.02355,0.3434,0.1298,0.09657,0.01138,0.09159,0.01322,-0.004583,0.1268,0.003506,-0.002785,-0.01283,0.05664,0
17.05,11.85,19.69,13.33,-0.6193,0.922,0.05426,1.114,0.1349,0.08394,-0.005358,0.09708,-0.01456,0.001886,0.1014,-0.004432,0.000225,0.008611,0.05987,0
14.58,9.428,18.94,12.4,-0.2962,0.07809,0.0436,0.0944,0.7393,0.08268,0.008926,0.1027,0.01821,0.04566,0.1307,-0.00103,-0.02281,-0.02453,0.07307,0
14.03,10.86,16.51,11,-0.3743,0.6657,0.000732,0.4852,0.9638,0.08399,0.000667,0.08337,-0.005982,0.005696,0.1253,0.003711,-0.01198,-0.005307,0.07638,0
15.87,8.537,17.43,13.23,-0.4739,1.269,0.02389,1.265,0.6707,0.07446,0.001091,0.1223,0.004389,0.006609,0.09646,0.005818,-0.01021,-0.006157,0.0818,0
15.08,11.03,16.82,13.56,-0.5207,0.4734,0.01992,0.4888,0.612,0.08905,-0.01015,0.07004,-0.002525,0.003242,0.1071,0.01374,0.0125,0.0126,0.08954,0
15.8,11.88,20.3,13.23,-1.046,0.7743,0.04662,-0.2365,0.2031,0.1126,0.007365,0.07081,0.01355,0.008847,0.1245,-0.001155,0.001109,0.01002,0.08181,0
14.31,11.42,17.82,12.28,-0.2804,1.929,0.01051,0.2327,0.3994,0.1074,-0.008486,0.09806,0.004686,-0.004358,0.1083,0.02093,-0.02771,0.00151,0.09358,0
15.16,10.72,17.33,13.36,-0.5407,0.595,0.09209,-0.3206,0.8173,0.1187,-0.007256,0.11,-0.008814,-0.01005,0.1131,-0.005674,0.002671,0.02088,0.07816,0
14.83,8.757,18.33,11.35,0.2745,0.8589,0.07277,0.2336,0.7989,0.1001,-0.008385,0.1113,-0.01373,-0.003625,0.08793,0.01086,0.007609,-0.004001,0.06224,0
14.36,10.32,15.09,10.51,-0.8991,1.321,0.04561,-0.05827,1.078,0.102,-0.0217,0.1457,0.000139,-0.03666,0.09152,0.006248,-0.006667,-0.001777,0.09581,0
14.88,8.988,16.93,11.24,-1.041,1.532,0.02904,0.5271,0.8869,0.09334,0.01107,0.06979,0.004074,0.006655,0.11,0.008767,0.003519,0.01855,0.06896,0
15.74,10.33,15.32,13.94,-1.042,0.2483,0.02991,1.038,0.1621,0.08385,-0.0057,0.08737,-0.01868,-0.01218,0.1468,-0.000745,-0.005976,-0.009376,0.06681,0
15.07,11.3,22.11,9.892,0.2004,-0.8467,0.03251,-0.1192,0.6163,0.08399,-0.02305,0.1012,-0.00027,-0.003092,0.1248,0.005498,0.002449,0.000195,0.0767,0
14.97,13.72,19.71,13.59,-0.9741,1.46,0.06473,0.008553,0.4463,0.1275,0.003167,0.07182,0.0293,-0.002555,0.1237,0.01982,-0.002347,0.01871,0.07984,0
14.42,9.372,18.73,13.06,-0.1194,2.212,0.04056,0.6441,0.4047,0.1185,-0.002108,0.1226,-0.04025,-0.01492,0.143,0.01878,0.003186,-0.01366,0.09041,0
14.25,8.068,20.24,12.64,-0.9745,1.367,0.06241,0.1768,0.9499,0.1243,0.01776,0.09327,0.04954,0.000867,0.1193,0.01451,-0.000473,0.03738,0.1561,0
14.62,10.85,19.66,11.44,0.06335,1.489,0.06807,0.7544,0.6528,0.157,-0.01723,0.09851,-0.01527,-0.001872,0.1334,0.003911,-0.005945,-0.008248,0.07566,0
13.79,11.36,18.72,12.84,-0.006026,1.742,0.03965,0.555,0.5406,0.09136,-0.007521,0.08497,-0.02065,0.005668,0.1161,-0.01762,0.001655,0.005351,0.06103,0
13.62,10.14,16.8,11.93,-0.3499,0.07602,0.06429,-0.5125,0.5518,0.08171,-0.004779,0.1113,-0.01958,0.004263,0.1018,0.003809,0.008576,-0.00062,0.06557,0
15.46,9.396,20.28,11.77,-1.06,2.248,-0.0222,0.554,0.856,0.1024,-0.006863,0.07752,0.01096,-0.01503,0.1084,-0.007471,-0.000667,-0.01013,0.07768,0
14.03,12.06,20.34,12.08,-0.4008,1.419,0.01542,-0.05166,0.5223,0.07222,-0.0054,0.105,0.01313,-0.008166,0.1121,0.004888,0.003799,0.009939,0.09276,0
14.34,10.44,21.19,12.12,0.3369,0.9647,0.03116,0.6481,0.8982,0.08792,-0.01967,0.1086,-0.000825,0.01464,0.08032,0.000118,-0.008854,0.000494,0.06145,0
14.83,10.71,20.43,12.26,-0.5552,0.3662,0.00323,0.8919,0.6023,0.09052,-0.00072,0.1009,-0.006483,-0.002383,0.1303,-0.009622,-0.01251,5.8e-05,0.06641,0
14.61,8.84,17.83,10.59,-0.1295,0.7346,0.02547,0.1671,0.3627,0.09845,-0.01693,0.1301,-0.03257,0.007248,0.1005,-0.004356,-0.002328,0.01243,0.07353,0
14,11.58,20.31,11.83,-0.7798,0.5494,0.03785,0.1427,1.28,0.1227,0.008572,0.1156,-0.01008,0.000371,0.1027,0.01541,0.009415,-0.03138,0.1186,0
14.17,10.02,19.81,10.57,-0.7462,1.646,0.03389,0.1172,0.2755,0.1046,0.02593,0.13,0.008506,0.01011,0.07118,0.00134,0.00179,-0.004951,0.0757,0
13.55,10.84,21.04,14.03,-0.2641,0.4281,0.06406,-0.01048,0.806,0.1093,-0.007049,0.1023,0.02325,-0.001483,0.08831,0.008975,-0.005691,0.000427,0.08244,0
14.97,10.95,18.87,12.37,0.1155,1.822,0.06545,0.3302,0.1865,0.06436,-0.007454,0.1075,0.01495,0.007785,0.13,0.000718,-0.0131,-0.01424,0.09987,0
16.36,11.33,17.33,10.78,-0.269,1.294,0.02521,0.293,0.6438,0.1213,0.0121,0.1087,-0.02227,-0.008816,0.0965,0.002516,0.000772,0.004453,0.05822,0
13.82,9.479,18.15,14.03,-0.3772,-0.3967,0.04235,0.208,0.723,0.09974,-0.01138,0.1215,-0.01344,-0.02019,0.1057,0.0119,-0.009756,-0.01403,0.06461,0
14.73,11.29,17.62,11.25,-0.5259,0.9622,0.03873,1.026,0.1663,0.07687,0.006721,0.08364,0.007865,0.002453,0.09732,0.007106,-0.005331,0.008887,0.07223,0
15.04,11.55,18.27,14.59,-0.3796,0.794,0.03194,0.7881,0.02326,0.1097,0.01824,0.06551,0.01454,0.003266,0.08643,0.006049,-0.000361,-0.004685,0.05233,0
14.99,10.16,19.34,11.59,-0.3141,0.4424,0.04689,0.7297,0.1816,0.08638,-0.007693,0.1188,0.01081,-0.009236,0.07354,0.003049,-0.02958,0.00365,0.05728,0
13.79,11.43,18.17,10.66,-0.3175,1.807,-0.003199,0.02109,0.6413,0.09638,0.006133,0.09948,-0.004794,0.003361,0.08953,0.02652,-0.006019,-0.01437,0.0801,0
15.32,10.95,16.29,13.2,0.3028,0.9629,0.01551,-0.6197,1.042,0.0744,0.01615,0.1192,0.008296,0.003176,0.09775,-0.008535,0.00471,0.004511,0.0633,0
13.16,10.04,16.37,15.03,-0.7223,0.7551,0.06543,0.806,0.2441,0.1014,-0.01572,0.113,0.03758,-0.005305,0.1226,0.00781,-0.000753,0.01941,0.0705,0
13.4,11.96,20.72,12.27,-0.5404,0.7122,0.04419,0.6234,0.601,0.08315,-0.02129,0.09185,-0.00419,0.001947,0.1015,-0.00486,0.004311,0.005995,0.07331,0
17.54,10.9,21.1,12.76,-0.101,1.033,0.06658,0.4969,1.082,0.09149,0.02231,0.1123,0.004318,0.01075,0.126,0.001557,-0.003917,-0.01197,0.09845,0
13.01,12.76,17.71,12.56,-0.8192,0.6492,-0.004144,-0.2866,1.203,0.1197,-0.01268,0.1121,0.03528,-0.0447,0.2041,0.01807,0.02225,-0.04019,0.0979,0
14.26,10.66,16.32,14.41,-0.8534,0.8931,0.02917,0.7694,0.8842,0.1075,-0.02222,0.122,0.01848,0.01473,0.1135,0.00097,0.006426,0.009078,0.06978,0
14.76,10.97,17.23,10.94,-0.5286,-0.2274,0.02939,0.2552,0.7173,0.0815,-0.01985,0.08888,-0.005087,-0.003408,0.133,0.007488,-0.001116,0.008676,0.07492,0
13.91,13.22,19.89,11.23,-0.008226,1.693,0.02266,0.5752,0.483,0.1007,-0.009887,0.08848,-0.01038,0.009339,0.1032,-0.007481,0.001179,-0.005981,0.06396,0
15.7,10.17,18.13,14.29,-0.171,2.068,0.05712,0.2853,0.6072,0.07506,0.01188,0.105,0.00416,-0.006504,0.09504,-0.01509,-0.009158,0.001473,0.05358,0
15.02,10.4,18.24,13.79,-0.2098,1.476,0.01458,0.5745,0.4592,0.07771,0.01171,0.1076,0.002791,0.008225,0.1114,-0.009254,-0.02217,-0.01934,0.09041,0
15.14,9.764,17.58,13.45,-0.1871,0.7203,0.02228,0.2224,0.239,0.09,0.01346,0.1152,0.02326,0.005807,0.1178,0.002266,-0.006578,-0.008097,0.06949,0
16.09,12.31,19.22,14.67,-0.5169,1.598,0.02484,0.752,0.7342,0.0961,0.007064,0.1045,-0.001966,0.001066,0.08355,-0.003798,0.007471,-0.001633,0.07102,0
14.44,10.32,21.16,11.45,-0.6869,1.241,0.03513,-0.1182,0.1293,0.07375,0.01414,0.1251,0.00291,-0.004977,0.1169,0.007305,0.02862,-0.01129,0.07797,0
14.07,12.2,17.49,12.88,-0.4788,1.778,0.03094,-0.1798,1.144,0.06981,-0.01832,0.1044,0.000829,0.007817,0.1089,0.006768,-0.02121,-0.005405,0.07929,0
12.93,11.88,16.8,10.69,0.08322,1.207,0.07202,0.5654,0.6216,0.1127,-0.008715,0.1041,-0.00094,0.006822,0.1079,0.001328,-0.005118,-0.000465,0.05692,0
16.15,11.3,19.51,15.49,-0.3504,1.446,0.05604,0.07588,0.8075,0.09196,-0.009178,0.08501,0.007652,-0.0133,0.1242,0.001115,0.002732,-0.01468,0.078,0
14.04,11.79,17.88,12.9,0.1524,0.5426,0.06096,1.077,1.256,0.09144,-0.01614,0.1201,0.006778,0.01132,0.1098,0.014,-0.005028,0.001118,0.08974,0
13.33,10.39,18.66,13.46,-0.01643,1.191,0.01649,-0.519,0.693,0.09921,-0.02162,0.1044,0.02094,-0.008378,0.1163,0.002361,-0.00663,-0.02568,0.08243,0
13.77,9.998,19.4,12.2,-0.1915,1.314,0.02225,0.8583,1.151,0.1167,-0.005433,0.08734,0.003877,0.00403,0.09973,0.006218,0.009829,-0.01638,0.08698,0
12.26,10.88,18.5,14.46,-0.3256,0.9791,0.02502,0.2032,0.6431,0.1038,-0.02585,0.09163,0.003329,0.004182,0.08464,-0.000821,0.006524,0.007076,0.07298,0
16.94,9.567,20.62,12.87,0.1474,0.4401,0.05157,0.8995,0.1785,0.0927,0.005609,0.09835,-0.000778,-0.01756,0.1049,0.01365,-0.008163,-0.021,0.07577,0
14.09,11.07,16.71,14.49,0.02081,0.8305,0.02949,1.006,0.687,0.08849,0.001833,0.1354,0.003056,0.003018,0.09168,-0.01093,-0.01002,0.00213,0.07674,0
14.29,11,22.05,11.57,-0.6628,1.331,0.06053,0.06685,0.5289,0.07235,0.007027,0.09303,-0.004298,0.008417,0.1111,-0.000403,-0.000289,-0.00135,0.08325,0
15.18,10.7,18.55,12.23,-0.3014,0.4799,-0.02487,0.6573,0.5936,0.09523,-0.01599,0.1283,-0.01387,0.006864,0.1071,0.01323,-0.004081,-0.002716,0.08264,0
14.57,10.54,18.76,13.43,-0.07758,1.134,-0.01648,0.5808,0.5128,0.1044,-0.01246,0.09254,0.000635,-0.00424,0.08065,-0.005606,0.01201,0.002149,0.07224,0
13.91,10.14,18.59,13.72,-0.8525,2.041,0.04219,0.4156,0.4006,0.08396,0.01828,0.08796,-0.005207,0.004532,0.09472,-0.002895,-0.02212,-0.02218,0.08497,0
14.14,10.23,18.85,12.85,-0.7679,0.9892,0.05287,0.3713,0.8372,0.144,0.02924,0.09423,-0.03774,-0.01217,0.1119,0.006709,-0.01031,-0.0178,0.09566,0
13.85,11.63,19.17,11.73,0.1313,0.648,0.05099,0.4543,0.8226,0.08964,0.018,0.1249,0.01035,-0.001617,0.1268,-0.01031,-0.02519,-0.002561,0.07742,0
15.47,12.63,16.24,13.37,-0.4765,1.211,0.08561,0.3905,0.1528,0.08812,0.00591,0.1013,0.00693,0.01141,0.1183,0.005188,0.0124,0.01675,0.06508,0
15.41,10.72,17.18,12.18,-0.2837,-0.000162,0.005034,0.3515,0.406,0.08278,0.03348,0.1254,-0.0229,-0.02854,0.125,-0.005656,0.000818,0.003192,0.08557,0
13.6,10.16,13.56,13.79,-1.12,1.22,-0.001611,-0.08048,0.9289,0.07481,0.009576,0.09919,-0.01667,0.02464,0.1424,-0.005861,0.01123,0.02322,0.08057,0
15.09,10.75,17.72,12.6,-0.5982,0.7049,0.02058,0.0786,0.2571,0.09166,-0.01204,0.08015,-0.000996,0.002473,0.08914,0.0075,0.002869,-0.009483,0.08351,0
14.69,9.153,17.16,11.74,-0.1515,0.6422,0.0262,0.4702,0.4879,0.07838,-0.008214,0.1174,-0.01567,0.004582,0.1084,-0.003884,-0.02715,0.005435,0.07653,0
14.41,12.46,16.74,11.12,-0.4458,1.249,0.06842,1.169,0.7445,0.07553,0.01135,0.09378,0.0112,0.000526,0.1442,-0.00632,0.00573,-0.01867,0.07374,0
14.37,12.54,19.84,11.54,0.183,0.9669,0.02559,0.7428,0.8204,0.09346,-0.004445,0.1079,0.005029,-0.0103,0.1493,-0.006263,-0.01865,-0.009903,0.06763,0
14.72,10.94,18.58,10.92,-0.2277,1.354,0.04998,-0.4503,1.139,0.1104,0.004852,0.08221,-0.01629,-0.009512,0.1076,-0.002183,-0.008511,-0.0076,0.07891,0
12.8,9.416,18.78,12.08,-0.2738,0.02823,0.05477,0.216,0.1271,0.09412,-0.01556,0.1433,0.000431,-0.02677,0.104,0.006932,-0.01374,0.01538,0.07684,0
13.78,12.15,19.58,13.93,-0.1132,0.6064,0.04587,0.2943,0.6544,0.08816,-0.005415,0.08122,-0.009616,-0.01453,0.1024,0.004335,-0.003001,-0.00399,0.06123,0
15.07,9.419,17.96,11.65,-0.6544,0.7106,0.03052,0.3397,0.5256,0.08272,-0.017,0.1386,0.003204,-0.02325,0.09347,-0.004343,-0.006063,-0.01289,0.07317,0
15.3,12.82,19.9,13.41,0.2229,0.6261,0.05954,0.1067,0.691,0.1071,-0.02543,0.1212,0.01187,-0.02423,0.1283,-0.01541,0.000255,-0.0185,0.0839,0
15.66,10.73,18.23,13.47,-0.2991,1.383,0.00011,0.2304,0.62,0.1001,-0.003893,0.09096,-0.009524,0.01754,0.0925,0.01724,-0.01359,-0.006309,0.09468,0
13.65,11.52,18.1,12.05,-0.1299,1.432,0.01521,0.3584,0.6484,0.08016,0.001451,0.1377,-0.009901,0.01022,0.0958,-0.001152,-0.01944,0.005247,0.08574,0
13.89,11.55,19.15,11.48,-0.5239,0.7738,0.04044,0.263,0.9513,0.07574,-0.007328,0.1305,-0.002619,0.004318,0.0976,0.009039,-0.004196,-0.01046,0.05331,0
12.46,10.69,18.38,12.7,0.3897,1.28,0.008092,-0.6665,0.1667,0.08494,-0.000864,0.09064,0.00305,-0.01403,0.1368,0.006912,-0.0122,0.01281,0.07224,0
14.1,11.72,19.77,13.89,-0.7147,-0.192,0.04317,0.7697,0.5082,0.08169,0.01398,0.1006,0.002867,-0.01553,0.1019,0.01212,0.01506,0.007163,0.08304,0
13.95,8.502,21.1,13.22,-0.487,0.0937,0.05382,0.6824,1.038,0.1024,-0.00622,0.08499,0.009041,0.004268,0.1174,0.002219,-0.002951,0.01094,0.08409,0
13.71,10.77,18.06,12.13,-0.167,0.08808,0.027,-0.2372,1.137,0.0852,0.01309,0.1133,0.00957,0.008738,0.1129,0.005423,-0.008983,0.001421,0.08511,0
15.09,10.65,18.67,11.7,-0.08748,0.8047,0.03536,0.685,0.5228,0.108,-0.005584,0.1016,0.008673,-0.001674,0.127,-0.01268,-0.001118,0.00755,0.06444,0
14.78,11.96,22.24,10.69,0.3752,1.271,0.07751,0.3702,0.5147,0.1222,0.005922,0.1055,0.01375,-0.03394,0.09851,-0.003686,-0.006838,3e-04,0.05943,0
14.68,10.34,19.75,13.11,-0.3274,1.061,-0.00173,0.3387,0.7234,0.09464,-0.008471,0.115,0.000425,0.04169,0.1214,-0.004882,-0.000683,0.008294,0.06373,0
14.36,11.4,19.2,12.38,-0.4152,0.7792,-0.006504,0.2207,0.469,0.09396,-0.001353,0.09491,-0.000755,0.002094,0.08411,0.004118,-0.003933,0.01453,0.08425,0
14.04,11.24,19.78,14.11,-0.3274,2.274,-0.004196,0.543,0.3979,0.07243,0.02224,0.09478,-0.005218,-0.01651,0.112,-0.008249,-0.01374,0.007315,0.07288,0
14.44,11.1,17.67,11.2,-0.2379,1.07,0.002311,-0.09281,0.256,0.0894,0.01417,0.146,0.00973,0.03111,0.1119,0.01126,0.003407,0.000665,0.07407,0
14.89,12.68,17.38,13.34,-0.09018,2.304,0.007938,0.4848,0.5174,0.1044,-0.01917,0.09016,0.0148,-0.01834,0.1313,0.01037,0.001696,-0.01491,0.06214,0
14.66,11.46,18.74,12.22,-0.7924,0.4694,0.03322,0.3531,0.4455,0.08378,-0.006883,0.08964,-0.009435,0.009094,0.08333,0.006111,0.003589,-0.000163,0.05537,0
16.14,10.08,17.77,13.03,0.243,0.773,0.06557,0.5464,0.7339,0.08021,-0.004049,0.1047,0.01202,-0.004222,0.1151,0.002874,0.001221,0.01633,0.06565,0
15.94,11.77,20.48,10.87,0.4373,1.415,0.05839,0.3755,0.802,0.0625,-0.005092,0.08324,-0.006794,0.01593,0.1343,0.001951,-0.009351,-0.01024,0.09664,0
14.82,13.35,15.49,13.72,-0.04335,2.118,-0.004315,-0.3107,0.8273,0.1019,-0.002241,0.09963,-0.0277,0.01969,0.1348,0.008311,-0.01322,-0.01926,0.06942,0
14.86,12.8,18.08,13.83,-0.6853,1.296,0.06349,0.01148,0.8763,0.0936,-0.001873,0.08808,-0.02548,0.009542,0.09511,0.01277,0.00579,-0.01699,0.06869,0
14.56,10.72,16.91,11.31,-0.1722,-0.1868,0.05488,-0.126,0.6473,0.09636,-0.01181,0.09849,-0.004801,-0.01215,0.1143,0.0165,0.01227,-0.012,0.0892,0
13.9,13.83,14.97,10.39,0.03393,0.4631,0.01802,0.3072,0.4497,0.08088,-0.01443,0.121,0.01038,0.006004,0.08925,-0.004276,0.00659,0.007588,0.09371,0
14.97,10.46,18.29,12.55,-0.1995,0.377,-0.02493,0.1137,0.2799,0.07299,0.009792,0.09525,-0.007893,-0.01289,0.08205,0.007738,-0.003703,0.001566,0.08948,0
15.28,10.93,19.01,12.8,-0.7712,0.005725,0.02634,0.0087,0.3817,0.09692,-0.01941,0.08548,-0.01019,0.01433,0.1005,0.02446,-0.004379,-0.00713,0.1009,0
15.22,8.618,18.8,12.18,0.05962,1.829,0.04856,1.13,-0.06869,0.0886,0.001103,0.112,0.006111,0.009266,0.09294,0.003343,-0.004804,0.01082,0.09964,0
15.5,8.329,19.35,11.38,0.04234,1.032,0.06169,-0.2799,1.013,0.1067,0.009999,0.09848,-0.003812,-0.01589,0.1112,-0.004372,-0.006509,0.001926,0.06473,0
12.93,9.65,18.8,13.69,-0.1106,1.549,0.007335,-0.1334,1.125,0.08735,0.008311,0.1151,0.004581,-0.008218,0.1144,-0.02418,-0.0157,-0.004522,0.08419,0
15.68,10.83,18.81,10.09,-0.5024,1.285,0.02196,0.488,0.9887,0.09889,-0.004142,0.09983,2.6e-05,0.001371,0.1479,0.01008,0.01414,-0.04644,0.1168,0
12.82,7.805,18.42,12.74,-0.427,1.391,-0.01408,-0.04022,0.5779,0.09005,-0.000237,0.1138,-0.003072,-0.02016,0.07917,-0.01548,0.01142,-0.009545,0.0733,0
15.12,13.6,17.99,12.18,0.006417,1.938,0.0543,0.02236,0.6906,0.1239,-0.001029,0.1036,0.004092,0.009876,0.09394,0.00493,-0.01252,-0.01005,0.1054,0
13.79,13.17,19.2,14.03,-0.2596,1.643,0.02135,0.03731,0.6346,0.1064,-0.01342,0.1068,0.00258,0.007302,0.09699,0.00562,-0.001493,0.000856,0.05553,0
12.45,8.497,20.75,13.36,-0.1147,0.6899,0.04532,-0.3584,0.4286,0.08369,0.00033,0.09807,8.2e-05,0.01455,0.1594,0.008869,-0.008236,-0.001761,0.06462,0
14.23,8.897,20.37,14.33,-0.6009,0.8244,0.03677,0.4713,0.533,0.0782,0.005965,0.09334,0.01496,-0.002293,0.1157,0.001363,0.00072,-0.01082,0.07664,0
15.03,10.64,16.97,12.87,-0.14,0.6504,0.03444,-0.7815,0.7178,0.09046,0.01013,0.1294,-0.003154,0.01388,0.08854,-0.00506,-0.02602,-0.005859,0.07948,0
13.46,10.69,18.26,12.45,-0.2576,1.487,0.04044,-0.3215,1.171,0.1289,-0.01128,0.08635,0.002925,0.005159,0.08091,-0.01411,-0.001625,0.001766,0.07212,0
15.51,9.76,18.66,12.73,0.5744,0.6667,0.07714,-0.1872,0.689,0.09122,0.01467,0.1243,-0.02237,0.02655,0.1065,-0.007935,0.01594,0.000884,0.06124,0
14.18,8.096,18.61,12.83,-0.7841,0.8509,0.006791,0.5541,0.6766,0.08436,0.00296,0.09,-0.00752,0.01589,0.1093,-0.008858,-0.003826,0.01842,0.08863,0
15.46,9.426,14.7,11.29,-0.1013,0.5897,0.02965,0.5296,0.8387,0.09645,-0.01891,0.09393,-0.01396,0.009815,0.09156,-0.0062,-0.000723,0.001372,0.06243,0
15.05,11.79,19.97,13.9,0.2137,1.695,0.06787,0.04006,0.265,0.09039,-0.01528,0.09475,0.003453,0.01034,0.09264,-0.006983,0.002588,-0.005425,0.0671,0
